,accident_id,acc_date,type,operator,registration,total_fatalities,total_occupants,aircraft_damage,phase,nature,depart_airport,destination_airport,location
169,ACC269,1977-03-01,Douglas DC-3,Alyemda,7O-ABF,19,19,Damaged beyond repair,Initial climb (ICL),Domestic Scheduled Passenger,"Aden International Airport (ADE/ODAA), Yemen","Sayun Airport (GXF/ODSY), Yemen",off Aden International Airport (ADE) (Yemen)
170,ACC270,1977-03-18,Antonov AN-2,Aeroflot,CCCP-09191,2,2,Damaged beyond repair,Maneuvering (MNV),Illegal Flight,"Forish Airstrip, Uzbekistan","Forish Airstrip, Uzbekistan",12 km (7.5 mls) N of Forish (Uzbekistan)
171,ACC271,1977-03-30,Yakovlev YAK-40,Aeroflot,CCCP-87738,8,28,Damaged beyond repair,Approach (APR),Domestic Scheduled Passenger,"Dnepropetrovsk Airport (DNK/UKDD), Ukraine","Zhdanov Airport (MPW/UKCM), Ukraine","1,5 km (0.9 mls) from Zhdanov Airport (MPW) (Ukraine)"
173,ACC273,1977-04-09,Nord 262,Altair Airlines,N7886A,3,3,Destroyed,Approach (APR),Ferry/positioning,"Philadelphia International Airport, PA (PHL/KPHL), United States of America","Reading Municipal Airport/Spaatz Field, PA (RDG/KRDG), United States of America","10 km (6.3 mls) S of Reading Municipal Airport/Spaatz Field, PA (RDG) (United States of America)"
174,ACC274,1977-04-18,Beechcraft 200,Tidewater Marine Services,N256TM,5,5,Damaged beyond repair,Approach (APR),Test,"New Orleans International Airport, LA (MSY/KMSY), United States of America","New Orleans International Airport, LA (MSY/KMSY), United States of America","off Ruddock, LA (United States of America)"
175,ACC275,1977-05-07,Antonov AN-2,Aeroflot,CCCP-23716,4,4,Damaged beyond repair,En route (ENR),Cargo,"Ayanka Airstrip, Russia","Tilichiki (UHPT), Russia",20 km (12.5 mls) SE of Ayanka Airstrip (Russia)
176,ACC276,1977-05-13,Antonov AN-12,LOT Polskie Linie Lotnicze,SP-LZA,9,9,Damaged beyond repair,Approach (APR),Cargo,"Varna Airport (VAR/LBWN), Bulgaria","Beirut International Airport (BEY/OLBA), Lebanon",Aramoun (Lebanon)
177,ACC277,1977-05-26,Canadair CL-215,Elleniki Polemikí Aeroporía,1042,3,3,Damaged beyond repair,Takeoff (TOF),Fire fighting,"Elefsis AB (LGEL), Greece","Elefsis AB (LGEL), Greece",Korinth (Greece)
178,ACC278,1977-07-08,Antonov AN-24,Aeroflot,CCCP-46847,6,7,Damaged beyond repair,Initial climb (ICL),Training,"Sukhumi Airport (SUI/UGSS), Georgia","Kirovograd Airport (KGO/UKKG), Ukraine",1 km (0.6 mls) W off Sukhumi Airport (SUI) (Georgia)
179,ACC279,1977-07-20,Avia 14,Aeroflot,CCCP-52096,39,40,Destroyed,Takeoff (TOF),Domestic Scheduled Passenger,"Vitim (UERT), Russia","Irkutsk Airport (IKT/UIII), Russia","0,5 km (0.3 mls) NNW of Vitim Airport (Russia)"
180,ACC280,1977-07-20,Douglas DC-3,Ethiopian Airlines,ET-ABF,5,5,Damaged beyond repair,Approach (APR),Cargo,"Tippi Airport (TIE/HATP), Ethiopia","Jimma Airport (JIM/HAJM), Ethiopia",Tubo Milkie (Ethiopia)
181,ACC281,1977-07-21,Britten-Norman BN-2,Harolds Air Service,N22JA,1,4,Damaged beyond repair,Initial climb (ICL),Domestic Scheduled Passenger,"Ruby Airport, AK (RBY/PARY), United States of America","Colorado Creek, AK, United States of America","Ruby Airport, AK (RBY) (United States of America)"
182,ACC282,1977-08-04,de Havilland Canada DHC-3,Woods Air Service,N48064,1,1,Damaged beyond repair,Takeoff (TOF),Cargo,"Alatna River, AK, United States of America","Bettles Airport, AK (BTT/PABT), United States of America","near Bettles, AK (United States of America)"
184,ACC284,1977-09-06,de Havilland Canada DHC-6,Alaska Aeronautical Industries,N563MA,13,13,Damaged beyond repair,En route (ENR),Domestic Scheduled Passenger,"Iliamna Airport, AK (ILI/PAIL), United States of America","Anchorage International Airport, AK (ANC/PANC), United States of America","Mt Iliamna, AK (United States of America)"
185,ACC285,1977-09-08,de Havilland Canada DHC-6,Burma Airways,XY-AEH,25,25,Damaged beyond repair,En route (ENR),Domestic Scheduled Passenger,"Mong Hsat Airport (MOG/VYMS), Myanmar","Keng Tung Airport (KET/VYKG), Myanmar",Mt. Loi Hsam Hsao (Myanmar)
186,ACC286,1977-09-12,Douglas DC-7,Safe Air Cargo,N6314J,4,4,Damaged beyond repair,Initial climb (ICL),Cargo,"Yakutat Airport, AK (YAK/PAYA), United States of America","Anchorage International Airport, AK (ANC/PANC), United States of America","4 km (2.5 mls) NW of Yakutat Airport, AK (YAK) (United States of America)"
188,ACC288,1977-10-13,Yakovlev YAK-40,Aeroflot,CCCP-87948,2,22,Substantial,Initial climb (ICL),Domestic Scheduled Passenger,"Rostov Airport (ROV/URRR), Russia","Nikolaev Airport (NLV/UKON), Ukraine",near Rostov Airport (ROV) (Russia)
189,ACC289,1977-10-13,Boeing 737,Lufthansa,D-ABCE,4,95,Minor,En route (ENR),International Scheduled Passenger,"Palma de Mallorca Airport (PMI/LEPA), Spain","Frankfurt International Airport (FRA/EDDF), Germany",Mogadishu International Airport (MGQ) (Somalia)
191,ACC291,1977-11-03,Britten-Norman BN-2,Servicios Aéreos Martinez Leon,XA-FUA,13,13,Damaged beyond repair,Approach (APR),Domestic Scheduled Passenger,"Palenque Airport (PQM/MMPQ), Mexico","San Cristóbal de las Casas Airport (SZT/MMSC), Mexico",near San Cristóbal de las Casas Airport (SZT) (Mexico)
192,ACC292,1977-11-21,Britten-Norman BN-2,Munz Northern Airlines,N36MN,2,2,Damaged beyond repair,En route (ENR),Domestic Scheduled Passenger,"Point Hope Airport, AK (PHO/PAPO), United States of America","Kotzebue Airport, AK (OTZ/PAOT), United States of America",within Alaska (United States of America)
193,ACC293,1977-12-04,Boeing 737,Malaysia Airlines,9M-MBD,100,100,Destroyed,En route (ENR),Domestic Scheduled Passenger,"Penang International Airport (PEN/WMKP), Malaysia","Kuala Lumpur Subang International Airport (KUL/WMKK), Malaysia",near Tanjong Kupang (Malaysia)
194,ACC294,1977-12-18,Douglas DC-8,United Airlines,N8047U,3,3,Damaged beyond repair,Approach (APR),Cargo,"San Francisco International Airport, CA (SFO/KSFO), United States of America","Salt Lake City International Airport, UT (SLC/KSLC), United States of America","5 km (3.1 mls) E of Kaysville, UT (United States of America)"
195,ACC295,1977-12-21,de Havilland Canada DHC-6,Kenn Borek Air,C-FABW,8,8,Damaged beyond repair,Approach (APR),Domestic Non Scheduled Passenger,"Pond Inlet Airport, NU (YIO/CYIO), Canada","Nanisivik Airport, NU (YSR/CYSR), Canada","3 km (1.9 mls) W of Nanisivik Airport, NU (YSR) (Canada)"
197,ACC297,1978-01-18,de Havilland Canada DHC-6,Frontier Airlines,N982FL,3,3,Damaged beyond repair,Takeoff (TOF),Training,"Pueblo Memorial Airport, CO (PUB/KPUB), United States of America","Pueblo Memorial Airport, CO (PUB/KPUB), United States of America","Pueblo Memorial Airport, CO (PUB) (United States of America)"
198,ACC298,1978-01-20,Britten-Norman BN-2,Bush Air,N869JA,1,1,Damaged beyond repair,En route (ENR),Cargo,"Bethel Airport, AK (BET/PABE), United States of America","Tanunak, AK, United States of America","near Toksook Bay, AK (United States of America)"
200,ACC300,1978-01-28,Douglas DC-3,SADELCA Colombia - Sociedad Aérea del Caqueta,HK-1351,12,12,Damaged beyond repair,En route (ENR),Domestic Scheduled Passenger,"Neiva Airport (NVA/SKNV), Colombia","San Vicente Airport (SVI/SKSV), Colombia",24 km (15 mls) NW of San Vicente Airport (SVI) (Colombia)
202,ACC302,1978-02-10,Beechcraft 99,Columbia Pacific Airlines,N199EA,17,17,Destroyed,En route (ENR),Domestic Scheduled Passenger,"Richland Airport, WA (RLD), United States of America","Seattle/Tacoma International Airport, WA (SEA/KSEA), United States of America","0,5 km (0.3 mls) N of Richland Airport, WA (RLD) (United States of America)"
203,ACC303,1978-02-11,Boeing 737,Pacific Western Airlines,C-FPWC,42,49,Destroyed,Landing (LDG),Domestic Scheduled Passenger,"Calgary International Airport, AB (YYC/CYYC), Canada","Cranbrook Airport, BC (YXC/CYXC), Canada","Cranbrook Airport, BC (YXC) (Canada)"
206,ACC306,1978-03-01,Fokker F-28,Nigeria Airways,5N-ANA,16,16,Damaged beyond repair,Approach (APR),Domestic Scheduled Passenger,"Sokoto Airport (SKO/DNSO), Nigeria","Kano International Airport (KAN/DNKN), Nigeria",2 km (1.3 mls) SW of Kano International Airport (KAN) (Nigeria)
207,ACC307,1978-03-01,McDonnell Douglas DC-10,Continental Air Lines,N68045,2,200,Damaged beyond repair,Takeoff (TOF),Domestic Scheduled Passenger,"Los Angeles International Airport, CA (LAX/KLAX), United States of America","Honolulu International Airport, HI (HNL/PHNL), United States of America","Los Angeles International Airport, CA (LAX) (United States of America)"
211,ACC311,1978-04-29,Rockwell 1121,Universal Air Leasing,N250UA,2,2,Damaged beyond repair,En route (ENR),Executive,"Lafayette Regional Airport, LA (LFT/KLFT), United States of America","Tulsa International Airport, OK (TUL/KTUL), United States of America","Flatwoods, LA (United States of America)"
212,ACC312,1978-05-08,Boeing 727,National Airlines,N4744,3,58,Damaged beyond repair,Approach (APR),Domestic Scheduled Passenger,"Mobile Municipal Airport, AL (MOB/KMOB), United States of America","Pensacola Regional Airport, FL (PNS/KPNS), United States of America","Escambia Bay, FL (United States of America)"
213,ACC313,1978-05-18,Dassault Falcon 20,Flight Safety International,N121GW,4,4,Damaged beyond repair,Approach (APR),Training,"Memphis International Airport, TN (MEM/KMEM), United States of America","Memphis International Airport, TN (MEM/KMEM), United States of America","6 km (3.8 mls) W of Memphis International Airport, TN (MEM) (United States of America)"
215,ACC315,1978-06-26,McDonnell Douglas DC-9,Air Canada,CF-TLV,2,107,Damaged beyond repair,Takeoff (TOF),Domestic Scheduled Passenger,"Toronto International Airport, ON (YYZ/CYYZ), Canada","Winnipeg International Airport, MB (YWG/CYWG), Canada","Toronto-Pearson International Airport, ON (YYZ) (Canada)"
217,ACC317,1978-08-17,BAC One-Eleven,Philippine Air Lines,RP-C1184,1,84,Substantial,En route (ENR),Domestic Scheduled Passenger,"Cebu Airport (CEB/RPVM), Philippines","Manila Airport (MNL/RPLL), Philippines",over Simara Island (Philippines)
218,ACC318,1978-08-26,de Havilland Canada DHC-6,Burma Airways,XY-AEI,14,14,Damaged beyond repair,Initial climb (ICL),Domestic Scheduled Passenger,"Papun Airport (PPU/VYPP), Myanmar","Bagan Airport (BPE/VYBG), Myanmar",near Papun Airport (PPU) (Myanmar)
219,ACC319,1978-09-03,Vickers 782,Air Rhodesia,VP-WAS,38,56,Damaged beyond repair,En route (ENR),Domestic Scheduled Passenger,"Kariba Airport (KAB/FVKB), Zimbabwe","Salisbury Airport (HRE/FVHA), Zimbabwe",Whamira Hills (Zimbabwe)
220,ACC320,1978-09-08,Antonov AN-2,Aeroflot,CCCP-35112,2,2,Damaged beyond repair,Maneuvering (MNV),Agricultural,"Yablunivka Airstrip, Ukraine","Yablunivka Airstrip, Ukraine","5 km (3.1 mls) SE of Yablunivka, Priluki district, Chernigov region (Ukraine)"
222,ACC322,1978-09-25,Boeing 727,Southwest Air,N533PS,135,135,Destroyed,Approach (APR),Domestic Scheduled Passenger,"Los Angeles International Airport, CA (LAX/KLAX), United States of America","San Diego International Airport, CA (SAN/KSAN), United States of America","5,6 km (3.5 mls) NE of San Diego International Airport, CA (SAN) (United States of America)"
224,ACC324,1978-10-23,Antonov AN-24,Aeroflot,CCCP-46327,26,26,Destroyed,En route (ENR),Domestic Scheduled Passenger,"Stavropol Airport (STW/URMT), Russia","Simferopol Airport (SIP/UKFF), Russia",24 km (15 mls) SE off Emelyanovka [Gulf of Sivash] (Ukraine)
226,ACC326,1978-11-05,Douglas DC-3,Nile Delta Air Services,SU-AZM,17,17,Damaged beyond repair,En route (ENR),Domestic Non Scheduled Passenger,"Alexandria Airport (ALY/HEAX), Egypt","Um Barka Oil Field Airstrip, Egypt","off Alexandria, Egypt (Mediterranean Sea)"
229,ACC329,1978-12-04,Learjet 25,Inlet Marine,N77RS,5,7,Destroyed,Landing (LDG),Executive,"Juneau International Airport, AK (JNU/PAJN), United States of America","Anchorage International Airport, AK (ANC/PANC), United States of America","Anchorage International Airport, AK (ANC) (United States of America)"
230,ACC330,1978-12-09,Antonov AN-26,Aeroflot,CCCP-26547,7,7,Destroyed,Initial climb (ICL),Cargo,"Cherskiy Airport (CYX/UESS), Russia","Zyryanka Airport (UESU), Russia",Cherskiy Airport (CYX) (Russia)
231,ACC331,1978-12-16,Fokker F-27,Pakistan International Airlines - PIA,AP-ATO,1,2,Damaged beyond repair,Approach (APR),Test,"Karachi International Airport (KHI/OPKC), Pakistan","Karachi International Airport (KHI/OPKC), Pakistan",Karachi (Pakistan)
232,ACC332,1978-12-19,Antonov AN-24,Aeroflot,CCCP-46299,5,5,Damaged beyond repair,Initial climb (ICL),Training,"Samarkand Airport (SKD/UTSS), Uzbekistan","Samarkand Airport (SKD/UTSS), Uzbekistan","1,1 km (0.7 mls) from Samarkand Airport (SKD) (Uzbekistan)"
233,ACC333,1978-12-24,Britten-Norman BN-2,Haiti Air Inter,HH-CNB,1,1,Damaged beyond repair,Approach (APR),Ferry/positioning,"South Caicos International Airport (XSC/MBSC), Turks and Caicos Islands","Grand Turk Island Airport (GDT/MBJT), Turks and Caicos Islands",off Turks & Caicos (Turks and Caicos Islands)
234,ACC334,1979-01-02,Ilyushin IL-14,Aeroflot,CCCP-04193,3,14,Damaged beyond repair,Takeoff (TOF),Domestic Non Scheduled Passenger,"Molodezhnaya Ice Station, Antarctica","Mawson Station, Antarctica",Molodezhnaya (Antarctica)
236,ACC336,1979-01-18,Let L-410,Aeroflot,CCCP-67210,3,3,Destroyed,Maneuvering (MNV),Training,"Belgorod Airport (EGO/UUOB), Russia","Belgorod Airport (EGO/UUOB), Russia",near Belgorod Airport (EGO) (Russia)
238,ACC338,1979-01-28,Fokker F-27,Air Rouergue,F-BYAH,5,6,Destroyed,Approach (APR),Test,"Rodez Airport (RDZ/LFCR), France","Rodez Airport (RDZ/LFCR), France","17,4 km (10.9 mls) SE of Rodez Airport (RDZ) (France)"
239,ACC339,1979-02-12,Vickers 748,Air Rhodesia,VP-YND,59,59,Damaged beyond repair,En route (ENR),Domestic Scheduled Passenger,"Kariba Airport (KAB/FVKB), Zimbabwe","Salisbury Airport (HRE/FVHA), Zimbabwe",near Kariba (Zimbabwe)
241,ACC341,1979-02-17,Fokker F-27,Air New Zealand,ZK-NFC,2,4,Destroyed,Approach (APR),Domestic Non Scheduled Passenger,"Gisborne Airport (GIS/NZGS), New Zealand","Auckland International Airport (AKL/NZAA), New Zealand",1 km (0.6 mls) W off Auckland International Airport (AKL) (New Zealand)
242,ACC342,1979-03-10,Nord 262,Swift Aire Lines,N418SA,3,7,Damaged beyond repair,Initial climb (ICL),Domestic Scheduled Passenger,"Los Angeles International Airport, CA (LAX/KLAX), United States of America","Santa Maria Airport, CA (KSMX), United States of America","3,5 km (2.2 mls) NW off Los Angeles International Airport, CA (LAX) (United States of America)"
245,ACC345,1979-03-22,Tupolev TU-134,Aeroflot,CCCP-65031,4,5,Damaged beyond repair,Landing (LDG),Cargo,"Gorkiy Airport (GOJ/UWGG), Russia","Liepaya Airport (LPX/EVLA), Latvia","1,5 km (0.9 mls) NE of Liepaya Airport (LPX) (Latvia)"
246,ACC346,1979-03-26,Antonov AN-26,Aeroflot,CCCP-26569,4,12,Destroyed,Approach (APR),Cargo,"Yeniseysk Airport (EIE/UNII), Russia","Baykit Airport (BKT/UNIB), Russia","1,7 km (1.1 mls) E of Baykit (BKT) (Russia)"
251,ACC351,1979-07-20,Douglas DC-3,Trans National Airlines,N63250,2,2,Missing,En route (ENR),Ferry/positioning,"San Jose Municipal Airport, CA (SJC/KSJC), United States of America","Honolulu International Airport, HI (HNL/PHNL), United States of America","off Honolulu, HI, USA (Pacific Ocean)"
253,ACC353,1979-07-23,Boeing 707,Trans Mediterranean Airways - TMA,OD-AFX,6,6,Damaged beyond repair,Initial climb (ICL),Training,"Beirut International Airport (BEY/OLBA), Lebanon","Beirut International Airport (BEY/OLBA), Lebanon",Beirut International Airport (BEY) (Lebanon)
254,ACC354,1979-08-02,Cessna 501,Thurman L. Munson,N15NY,1,3,Destroyed,Approach (APR),Private,"Akron/Canton Regional Airport, OH (CAK/KCAK), United States of America","Akron/Canton Regional Airport, OH (CAK/KCAK), United States of America","Akron/Canton Regional Airport, OH (CAK) (United States of America)"
255,ACC355,1979-08-11,Tupolev TU-134,Aeroflot,CCCP-65816,94,94,Destroyed,En route (ENR),Domestic Scheduled Passenger,"Voronezh Airport (VOZ/UUOO), Russia","Kishinev Airport (KIV/LUKK), Moldova","3,5 km (2.2 mls) SE of Kurilovka (Ukraine)"
256,ACC356,1979-08-24,Antonov AN-12,Aeroflot,CCCP-12963,11,16,Destroyed,En route (ENR),Cargo,"Noril'sk Airport (NSK/UOOO), Russia","Krasnoyarsk Airport (KJA/UNKL), Russia",18 km (11.3 mls) from Yeniseisk (Russia)
258,ACC358,1979-08-29,de Havilland Canada DHC-6,Bradley Air Services,C-GROW,9,9,Destroyed,Approach (APR),Domestic Non Scheduled Passenger,"Brevoort Island Airstrip, NU (CWOB), Canada","Frobisher Bay Airport, NU (YFB/CYFB), Canada","0,4 km (0.3 mls) E of Frobisher Bay Airport, NU (YFB) (Canada)"
262,ACC362,1979-09-18,Britten-Norman BN-2,Pacific Coastal Airlines,C-FZVV,4,9,Damaged beyond repair,En route (ENR),Domestic Scheduled Passenger,"Comox Airport, BC (YQQ/CYQQ), Canada","Port Hardy Airport, BC (YZT/CYZT), Canada","Blink Horn Point, BC (Canada)"
263,ACC363,1979-10-30,Douglas C-47,Frontier Flying Service,N99663,2,2,Damaged beyond repair,Approach (APR),Cargo,"Fairbanks International Airport, AK (FAI/PAFA), United States of America","Bettles Airport, AK (BTT/PABT), United States of America","Bettles Airport, AK (BTT) (United States of America)"
265,ACC365,1979-11-01,de Havilland Canada DHC-6,Austin Airways,C-GTJA,3,3,Damaged beyond repair,Approach (APR),Domestic Non Scheduled Passenger,"Pickle Lake Airport, ON (YPL/CYPL), Canada","Big Trout Airport, ON (YTL/CYTL), Canada","Big Trout Lake, ON (Canada)"
267,ACC367,1979-11-05,Britten-Norman BN-2,Douglas Airways,P2-ATU,3,10,Damaged beyond repair,En route (ENR),Passenger,"Kerema Airport (KMA/AYKM), Papua New Guinea","Kaintiba Airport (KZF/AYKT), Papua New Guinea",Huabango (Papua New Guinea)
268,ACC368,1979-11-16,Yakovlev YAK-40,Aeroflot,CCCP-87454,3,5,Damaged beyond repair,Approach (APR),Ferry/positioning,"Velikij Ustyug Airport (VUS), Russia","Vologda Airport (VGD/ULWW), Russia",Vologda Airport (VGD) (Russia)
269,ACC369,1979-11-21,IAI Arava 102,Yacimientos Petroliferos Fiscales,LV-MRX,8,8,Destroyed,En route (ENR),Domestic Non Scheduled Passenger,"Río Gallegos Internacional Airport, SC (RGL/SAWG), Argentina","Ushuaia Airport, TF (USH/SAWO), Argentina","25 km (15.6 mls) W of Puerto Williams, Navarino Island (Chile)"
271,ACC371,1979-11-26,Boeing 707,Pakistan International Airlines - PIA,AP-AWZ,156,156,Destroyed,En route (ENR),International Scheduled Passenger,"Jeddah International Airport (JED/OEJD), Saudi Arabia","Karachi International Airport (KHI/OPKC), Pakistan",48 km (30 mls) N of Taif (Saudi Arabia)
272,ACC372,1979-11-28,McDonnell Douglas DC-10,Air New Zealand,ZK-NZP,257,257,Destroyed,En route (ENR),Domestic Non Scheduled Passenger,"Auckland International Airport (AKL/NZAA), New Zealand","Christchurch International Airport (CHC/NZCH), New Zealand",Mount Erebus (Antarctica)
274,ACC374,1979-12-03,de Havilland Canada DHC-6,Evergreen Helicopters,N8061V,4,4,Damaged beyond repair,En route (ENR),Domestic Scheduled Passenger,"Nome Airport, AK (OME/PAOM), United States of America","Shishmaref Airport, AK (SHH/PASH), United States of America","near Nome, AK (United States of America)"
275,ACC375,1979-12-22,de Havilland Canada DHC-5,Fuerza Aérea del Peru - FAP,FAP-348,29,29,Damaged beyond repair,En route (ENR),Domestic Scheduled Passenger,"Pucallpa Airport (PCL/SPCL), Peru","Puerto Esperanza Airport (SPEP), Peru",near Puerto Esperanza (Peru)
276,ACC376,1980-02-06,Grumman American G-1159,Gabon Government,TR-KHB,5,5,Damaged beyond repair,Approach (APR),Official state flight,"N'Djamena Airport (NDJ/FTTJ), Chad","N'Gaoundéré Airport (NGE/FKKN), Cameroon",near Ngaoundéré Airport (NGE) (Cameroon)
279,ACC379,1980-03-20,Antonov AN-24,CAAC,B-484,26,26,Destroyed,Landing (LDG),Domestic Scheduled Passenger,"Guiyang Airport (KWE/ZUGY), China","Changsha Datuopu Airport (CSX/ZGCS), China",Changsha Datuopu Airport (CSX) (China)
280,ACC380,1980-04-14,Antonov AN-24,Aeroflot,CCCP-47732,2,53,Damaged beyond repair,Landing (LDG),Domestic Scheduled Passenger,"Krasnoyarsk Airport (KJA/UNKL), Russia","Yeniseysk Airport (EIE/UNII), Russia",Krasnoyarsk Airport (KJA) (Russia)
282,ACC382,1980-05-13,Ilyushin IL-14,Cubana de Aviación,CU-T322,3,3,Destroyed,En route (ENR),Training,"Varadero Airport (VRA/MUVR), Cuba","Varadero Airport (VRA/MUVR), Cuba","0,5 km (0.3 mls) off Varadero (Cuba)"
