,accident_id,acc_date,type,operator,registration,total_fatalities,total_occupants,aircraft_damage,phase,nature,depart_airport,destination_airport,location
964,ACC1064,1997-11-13,Beechcraft B100,A & H Aircraft Sales,N500ML,1,1,Damaged beyond repair,Approach (APR),Executive,"Muscle Shoals Airport, AL (MSL/KMSL), United States of America","Jackson International Airport, MS (JAN/KJAN), United States of America","Madison, MS (United States of America)"
970,ACC1070,1997-12-09,Embraer EMB-110,Sowind Air,C-GVRO,4,17,Damaged beyond repair,Approach (APR),Domestic Scheduled Passenger,"Winnipeg International Airport, MB (YWG/CYWG), Canada","Little Grand Rapids Airport, MB (ZGR/CZGR), Canada","Little Grand Rapids, MB (Canada)"
971,ACC1071,1997-12-15,Tupolev TU-154,Tajikistan Airlines,EY-85281,85,86,Destroyed,Approach (APR),Int'l Non Scheduled Passenger,"Dushanbe Airport (DYU/UTDD), Tajikistan","Sharjah Airport (SHJ/OMSJ), United Arab Emirates",13 km (8.1 mls) E of Sharjah Airport (SHJ) (United Arab Emirates)
976,ACC1076,1998-01-27,Fokker F-27,Myanma Airways,XY-AES,16,45,Damaged beyond repair,Takeoff (TOF),Domestic Scheduled Passenger,"Thandwe Airport (SNW/VYTD), Myanmar","Kyaukpyu Airport (KYP/VYKP), Myanmar",Thandwe Airport (SNW) (Myanmar)
981,ACC1081,1998-03-18,Saab 340,Formosa Airlines,B-12255,13,13,Destroyed,En route (ENR),Domestic Scheduled Passenger,"Hsinchu Airport (HSZ/RCPO), Taiwan","Kaohsiung International Airport (KHH/RCKH), Taiwan",11 km (6.9 mls) NW off Hsinchu Airport (HSZ) (Taiwan)
982,ACC1082,1998-03-19,Boeing 727,Ariana Afghan Airlines,YA-FAZ,45,45,Destroyed,En route (ENR),Domestic Non Scheduled Passenger,"Kandahar Airport (KDH/OAKN), Afghanistan","Kabul Airport (KBL/OAKB), Afghanistan",15 km (9.4 mls) S of Kabul Airport (KBL) (Afghanistan)
985,ACC1085,1998-03-28,Antonov AN-32,Fuerza Aérea del Peru - FAP,OB-1389,21,55,Damaged beyond repair,Approach (APR),Domestic Non Scheduled Passenger,"Tumbes Airport (TBP/SPME), Peru","Piura Airport (PIU/SPUR), Peru",near Piura Airport (PIU) (Peru)
995,ACC1095,1998-05-26,Harbin Yunshuji Y-12,MIAT - Mongolian Airlines,JU-1017,28,28,Damaged beyond repair,En route (ENR),Domestic Scheduled Passenger,"Erdenet Airport (ERT), Mongolia","Moron Airport (MXV/ZMMN), Mongolia",W of Erdenet (Mongolia)
997,ACC1097,1998-07-13,Ilyushin IL-76,ATI Aircompany,UR-76424,8,8,Destroyed,En route (ENR),Cargo,"Ras Al Khaimah International Airport (RKT/OMRK), United Arab Emirates","Nikolaev Airport (NLV/UKON), Ukraine","4,5 km (2.8 mls) NW off Ra'sal-Khaymah (United Arab Emirates)"
1000,ACC1100,1998-07-30,HAL/Dornier 228,Alliance Air,VT-EJW,6,6,Damaged beyond repair,Initial climb (ICL),Domestic Scheduled Passenger,"Cochin Airport (COK/VOCC), India","Thiruvananthapuram International Airport (TRV/VOTV), India",Cochin Airport (COK) (India)
1007,ACC1107,1998-09-25,Britten-Norman BN-2,TanaMana Aviation,5Y-ANV,4,11,Damaged beyond repair,En route (ENR),Domestic Non Scheduled Passenger,"Entebbe Airport (EBB/HUEN), Uganda","Kasese Airport (KSE/HUKS), Uganda",Rwenzori mountains (Uganda)
1008,ACC1108,1998-09-25,British Aerospace BAE-146,Paukn Air,EC-GEO,38,38,Destroyed,Approach (APR),Domestic Scheduled Passenger,"Málaga Airport (AGP/LEMG), Spain","Melilla Airport (MLN/GEML), Spain","15,3 km (9.6 mls) N of Melilla Airport (MLN) (Morocco)"
1011,ACC1111,1998-10-02,Douglas DC-3,Servivensa,YV-611C,1,27,Damaged beyond repair,Approach (APR),Domestic Non Scheduled Passenger,"Canaima Airport (CAJ/SVCN), Venezuela","Canaima Airport (CAJ/SVCN), Venezuela",1 km (0.6 mls) from Canaima Airport (CAJ) (Venezuela)
1014,ACC1114,1998-11-01,Douglas DC-3,Living Water Teaching Ministries,N3FY,11,18,Damaged beyond repair,Approach (APR),Domestic Non Scheduled Passenger,"Playa Grande Airport (PKJ), Guatemala","Quetzaltenango Airport (AAZ/MGQZ), Guatemala",near Quetzaltenango (Guatemala)
1018,ACC1118,1998-11-23,Cessna 208,Regency Express Air,N9352B,2,2,Damaged beyond repair,Approach (APR),Cargo,"Vancouver International Airport, BC (YVR/CYVR), Canada","Victoria International Airport, BC (YYJ/CYYJ), Canada","9 km (5.6 mls) N of Victoria International Airport, BC (YYJ) (Canada)"
1020,ACC1120,1998-11-28,de Havilland Canada DHC-7,DNK Aviation Leasing Group,VP-CDY,2,2,Damaged beyond repair,Maneuvering (MNV),Test,"Guernsey Airport, Channel Islands (GCI/EGJB), United Kingdom","Guernsey Airport, Channel Islands (GCI/EGJB), United Kingdom",Ashburton (United Kingdom)
1021,ACC1121,1998-12-02,Cessna 501,Yates Aviation,N501EZ,1,1,Destroyed,En route (ENR),Ferry/positioning,"Mena Intermountain Municipal Airport, AR (KMEZ), United States of America","Texarkana Municipal Airport, AR (TXK/KTXK), United States of America","30 km (18.8 mls) S of Mena Intermountain Municipal Airport, AR) (United States of America)"
1023,ACC1123,1998-12-07,Pilatus Britten-Norman BN-2,Air Satellite,C-FCVK,7,10,Damaged beyond repair,Initial climb (ICL),Domestic Scheduled Passenger,"Baie Comeau Airport, QC (YBC/CYBC), Canada","Rimouski Airport, QC (YXK/CYXK), Canada","Baie Comeau Airport, QC (YBC) (Canada)"
1026,ACC1126,1999-01-13,Douglas DC-3,Kelowna Flightcraft Air Charter,C-GWUG,2,2,Damaged beyond repair,En route (ENR),Cargo,"Vancouver International Airport, BC (YVR/CYVR), Canada","Victoria International Airport, BC (YYJ/CYYJ), Canada","Mayne Island, BC (Canada)"
1027,ACC1127,1999-01-16,IRMA/Britten-Norman BN-2,Uzu Air,VH-XFF,3,4,Damaged beyond repair,Approach (APR),Domestic Non Scheduled Passenger,"Horn Island Airport, QLD (HID/YHID), Australia","Coconut Island Airport, QLD (CNC/YCCT), Australia","near Coconut Island Airport, QLD (CNC) (Australia)"
1028,ACC1128,1999-01-18,Cessna 208,Necon Air,9N-ADA,5,12,Damaged beyond repair,Takeoff (TOF),Domestic Scheduled Passenger,"Jumla Airport (JUM/VNJL), Nepal","Nepalganj Airport (KEP/VNNG), Nepal",Jumla Airport (JUM) (Nepal)
