Unnamed: 0,acc. date,type,operator,fat.,location,dmg
4465,27 Nov 1989,Boeing 727-21,Avianca,107,16 km SW of Bogotá-Eldorado Airport (BOG),dst
4519,25 Jan 1990,Boeing 707-321B,Avianca,73,"Cove Neck, NY",dst
4533,14 Feb 1990,Airbus A320-231,Indian Airlines,92,"0,7 km W of Bangalore-Hindustan Airport (BLR)",dst
4643,10 Aug 1990,Antonov An-12,Democratic Republic of Afghanistan Air Force - DRAAF,83,near Shindand,dst
4684,2 Oct 1990,Boeing 757-21B,China Southern Airlines,128,Guangzhou-Baiyun Airport (CAN),w/o
4685,2 Oct 1990,Boeing 737-247,Xiamen Airlines,128,Guangzhou-Baiyun Airport (CAN),dst
4768,5 Feb 1991,Lockheed C-130H Hercules,Elleniki Polemikí Aeroporía,63,24 km WSW of Volos-Néa Anchialos Airport (VOL),dst
4819,21 Mar 1991,Lockheed C-130H Hercules,Royal Saudi Air Force - RSAF,98,near Rash Mishab,w/o
4854,26 May 1991,Boeing 767-3Z9ER,Lauda Air,223,"5,6 km NNE of Phu Toey",dst
4886,11 Jul 1991,McDonnell Douglas DC-8-61,Nigeria Airways,261,"2,8 km S of Jeddah-King Abdulaziz International Airport (JED)",dst
4897,16 Aug 1991,Boeing 737-2A8 Advanced,Indian Airlines,69,38 km SW of Imphal Municipal Airport (IMF),dst
4939,5 Oct 1991,Lockheed C-130H-30 Hercules,Tentara Nasional Indonesia-AU (Air Force),135,3 km S of Jakarta-Halim Perdana Kusuma Airport (HLP),dst
4955,7 Nov 1991,Yakovlev Yak-40,Yugavia,51,23 km WNW of Makhachkala Airport (MCX),dst
5012,20 Jan 1992,Airbus A320-111,Air Inter,87,"19,5 km SW of Strasbourg-Entzheim Airport (SXB)",dst
5081,16 Apr 1992,de Havilland Canada DHC-5D Buffalo,Kenya Air Force - KAF,52,"ca 1,7 km SW of Nairobi-Moi Air Base",w/o
5126,14 Jul 1992,Antonov An-12,Yemen Air Force,58,100 km E of Sana'a,w/o
5133,24 Jul 1992,Vickers 816 Viscount,Mandala Airlines,70,ca 15 km W of Ambon-Pattimura Airport (AMQ),dst
5142,31 Jul 1992,Yakovlev Yak-42D,China General Aviation Corp.,107,Nanking Airport (NKG),dst
5143,31 Jul 1992,Airbus A310-304,Thai Airways International,113,40 km N of Kathmandu-Tribhuvan Airport (KTM),dst
5167,27 Aug 1992,Tupolev Tu-134A,"Aeroflot, Central Region Civil Aviation Directorate",84,3 km SE of Ivanovo Airport (IWA),dst
5195,26 Sep 1992,Lockheed C-130H Hercules,Nigerian Air Force - NAF,159,ca 7 km SSW of Lagos-Murtala Muhammed International Airport (LOS),dst
5197,28 Sep 1992,Airbus A300B4-203,Pakistan International Airlines - PIA,167,18 km S of Kathmandu-Tribhuvan Airport (KTM),dst
5234,24 Nov 1992,Boeing 737-3Y0,China Southern Airlines,141,20 km S of Guilin Airport (KWL),dst
5260,21 Dec 1992,McDonnell Douglas DC-10-30CF,Martinair Holland,56,Faro Airport (FAO),w/o
5261,22 Dec 1992,Boeing 727-2L5,Libyan Arab Airlines,157,9 km E of Tripoli International Airport (TIP),dst
5292,8 Feb 1993,Tupolev Tu-154M,Iran Airtour,133,15 km from Tehran-Mehrabad Airport (THR),dst
5308,5 Mar 1993,Fokker 100,Palair Macedonian Airlines,83,Skopje Airport (SKP),dst
5346,26 Apr 1993,Boeing 737-2A8,Indian Airlines,55,3 km NE of Aurangabad Airport (IXU),w/o
5350,27 Apr 1993,Antonov An-32,Democratic Republic of Afghanistan Air Force - DRAAF,76,Tashqurghan,dst
5361,19 May 1993,Boeing 727-46,SAM Colombia,132,60 km NW of Medellín,dst
5405,23 Jul 1993,British Aerospace BAe-146-300,China Northwest Airlines,56,Yinchuan Airport (INC),w/o
5408,26 Jul 1993,Boeing 737-5L9,Asiana Airlines,68,"7,5 km SW of Mokpo Airport (MPK)",dst
5432,28 Aug 1993,Yakovlev Yak-40,Tajikistan Airlines,82,near Khorog,dst
5457,22 Sep 1993,Tupolev Tu-154B,Orbi Georgian Airways,108,Sukhumi-Babusheri Airport (SUI),dst
5502,20 Nov 1993,Yakovlev Yak-42D,Avioimpex,116,2 km E of Ohrid Airport (OHD),dst
5555,3 Jan 1994,Tupolev Tu-154M,Baikal Airlines,125,near Mamony,dst
5622,23 Mar 1994,Airbus A310-304,Aeroflot Russian International Airlines,75,near Mezhduretshensk,dst
5638,26 Apr 1994,Airbus A300B4-622R,China Airlines,264,Nagoya-Komaki International Airport (NGO),dst
5659,6 Jun 1994,Tupolev Tu-154M,China Northwest Airlines,160,29 km SE of Xian-Xianyang International Airport (XIY),dst
