Unnamed: 0,acc. date,type,operator,fat.,location,dmg,country,state,city,LAT,LNG
2065,11 Jul 1979,Fokker F-28 Fellowship 1000,Garuda Indonesia Airways,61,Mount Sibayak,dst,AU,SA,Mount Barker,-35.06176,138.85294
2095,11 Aug 1979,Tupolev Tu-134A,Aeroflot / Belarus,178,2 km NE of Kurilovka,dst,US,,,38.89037,-77.03196
2096,11 Aug 1979,Tupolev Tu-134A,Aeroflot / Moldova,178,"3,5 km SE of Kurilovka",dst,UA,,Kanivskyi raion,49.78204,31.30831
2107,29 Aug 1979,Tupolev Tu-124V,"Aeroflot, Privolzhsk Civil Aviation Directorate",63,near Kirsanov,dst,RU,,Kirsanov,52.65068,42.73165
2153,31 Oct 1979,McDonnell Douglas DC-10-10,Western Air Lines,73,Mexico City-Juarez International Airport (MEX),w/o,MX,QRoo,Benito Juárez,21.041,-86.87505
2175,26 Nov 1979,Boeing 707-340C,Pakistan International Airlines - PIA,156,48 km N of Taif,dst,US,,,38.89037,-77.03196
2177,28 Nov 1979,McDonnell Douglas DC-10-30,Air New Zealand,257,Mount Erebus,dst,US,CA,Fountain Valley,33.72859,-117.92216
2210,21 Jan 1980,Boeing 727-86,Iran Air,128,29 km N of Tehran-Mehrabad Airport (THR),dst,US,,,38.89037,-77.03196
2245,14 Mar 1980,Ilyushin Il-62,LOT Polskie Linie Lotnicze,87,"0,8 km NW of Warszawa-Okecie Airport (WAW)",dst,PL,,Warsaw,52.17804,20.98251
2266,12 Apr 1980,Boeing 727-27C,Transbrasil,55,"22 km NNE of FlorianÃ³polis-Hercilio Luz International Airport, SC (FLN)",dst,US,,,38.89037,-77.03196
2275,25 Apr 1980,Boeing 727-46,Dan-Air Services,146,Esperanzo Forest,dst,US,NJ,Englewood,40.8878,-73.98688
2316,27 Jun 1980,Douglas DC-9-15,Aerolinee Itavia,81,"25 km NE off Ustica, Italy [Tyrrhenian Sea]",dst,IT,,Ustica,38.70773,13.19062
2322,8 Jul 1980,Tupolev Tu-154B-2,"Aeroflot, Kazakstan Civil Aviation Directorate",166,5 km from Alma-Ata Airport (ALA),dst,KZ,,Almaty,43.34803,77.00907
2352,19 Aug 1980,Lockheed L-1011 TriStar 200,Saudi Arabian Airlines,301,Riyadh International Airport (RUH),dst,SA,,Riyadh,24.92486,46.71257
2376,14 Sep 1980,Lockheed C-130E Hercules,Royal Saudi Air Force - RSAF,89,near Madinah-Mohammad Bin Abdulaziz Airport (MED),dst,SA,,Madinah,24.48856,39.63618
2445,21 Dec 1980,Sud Aviation SE-210 Caravelle VI-R,TAC Colombia,70,near Riohacha,dst,CO,,Riohacha,11.5449,-72.90635
2474,7 Feb 1981,Tupolev Tu-104A,Soviet Navy,50,ca 20 km S of Leningrad,w/o,RU,,Vsevolozhskiy rayon,60.23902,30.25426
2571,20 Jul 1981,Fokker F-27 Friendship 600RF,Somali Airlines,50,near Balad,dst,IQ,,Balad,33.99512,44.24168
2592,22 Aug 1981,Boeing 737-222,Far Eastern Air Transport - FEAT,110,"near Sanyi Township, Miaoli County",dst,TW,,Sanyi Township,24.41275,120.77038
2595,26 Aug 1981,Vickers 745D Viscount,Aeropesca Colombia,50,ca 48 km N of Florencia,dst,US,CA,Mission Viejo,33.66321,-117.63093
2618,29 Sep 1981,Lockheed C-130H Hercules,Islamic Republic of Iran Air Force - IRIAF,80,Kahrisak,w/o,US,,,38.89037,-77.03196
2641,16 Nov 1981,Tupolev Tu-154B-2,"Aeroflot, Krasnoyarsk Civil Aviation Directorate",99,Noril'sk Airport (NSK),w/o,RU,,Norilsk,69.3253,87.34037
2649,1 Dec 1981,McDonnell Douglas DC-9-81 (MD-81),Inex-Adria Aviopromet,180,24 km SE of Ajaccio-Campo dell'Oro Airport (AJA),dst,FR,COR,Ajaccio,41.93527,8.79406
2676,13 Jan 1982,Boeing 737-222,Air Florida,78,"1,4 km  N of Washington-National Airport, DC (DCA) [Potomac River]",dst,US,VA,Arlington,38.849,-77.04402
2677,14 Jan 1982,Antonov An-26,Ethiopian Air Force,73,near Addis Ababa,dst,ET,,,9.01358,38.76286
2693,5 Feb 1982,Fairchild C-123J Provider,Republic of Korea Air Force - ROKAF,53,near Jeju (Cheju) International Airport (CJU),w/o,AE,,Dubai,25.25897,55.3708
2732,26 Apr 1982,Hawker Siddeley HS-121 Trident 2E,CAAC,112,"Gongcheng County, Guilin, Guangxi Zhuang Autonomous Region",dst,US,,,38.89037,-77.03196
2766,1 Jun 1982,Fairchild C-123J Provider,Republic of Korea Air Force - ROKAF,53,near Seoul-Seongnam Air Base (SSN),w/o,US,,,38.89037,-77.03196
2775,8 Jun 1982,Boeing 727-212,VASP - ViaÃ§Ã£o AÃ©rea SÃ£o Paulo,137,"Serra de Pacatuba, CE",dst,BR,CE,Pacatuba,-3.98503,-38.61638
2791,28 Jun 1982,Yakovlev Yak-42,"Aeroflot, Leningrad Civil Aviation Directorate",132,"near Verbovichi, Narowla District",dst,UA,,Brodivskyi raion,49.86703,25.32693
2795,6 Jul 1982,Ilyushin Il-62M,"Aeroflot, International Civil Aviation Directorate",90,"11,4 km N of Moskva-Sheremetyevo Airport (SVO)",dst,RU,,Moscow,55.94772,37.41329
2796,9 Jul 1982,Boeing 727-235,Pan American World Airways (Pan Am),153,"1,4 km E of New Orleans International Airport, LA (MSY)",dst,US,LA,New Orleans,29.9532,-90.06603
2836,13 Sep 1982,McDonnell Douglas DC-10-30CF,Spantax,50,MÃ¡laga Airport (AGP),dst,ES,AN,Málaga,36.67676,-4.49135
3024,11 Jul 1983,Boeing 737-2V2,TAME Ecuador,119,"1,5 km from Cuenca",dst,US,,,38.89037,-77.03196
