,acc. date,type,operator,fat.,location,dmg
11241,30 Jul 2019,Avro RJ85,Cobham Aviation Services,0,"Perth Airport, WA (PER)",sub
11242,30 Jul 2019,Airbus A319-114,Lufthansa,0,Frankfurt International Airport (FRA),sub
11243,30 Jul 2019,unknown,Fuerza Aérea de Guinea Ecuatorial,0,off Grand Batanga,w/o
11244,30 Jul 2019,Beechcraft B300 King Air 350i,Pakistan Army Aviation Corps,5+14,"Mora Kalu, Rawalpindi",dst
11245,31 Jul 2019,Bombardier CL-600-2D24 Regional Jet CRJ-900ER,American Eagle,0,"Dallas/Fort Worth International Airport, TX (DFW)",sub
11246,1 Aug 2019,Douglas C-118A Liftmaster (DC-6A),Everts Air Cargo,0,"Candle 2 Airport, AK",sub
11247,2 Aug 2019,Shijiazhuang Y-5B(D),Liaoning Star General Aviation,0,"Longmen Farm, Wudalianchi, Heilongjiang Province",sub
11248,2 Aug 2019,Boeing 787-8 Dreamliner,Air Canada,0,"Vancouver International Airport, BC (YVR)",min
11249,2 Aug 2019,Airbus A340-313,Edelweiss Air,0,"Vancouver International Airport, BC (YVR)",sub
11250,4 Aug 2019,Antonov An-2,DOSAAF Tajikistan,1,near Fakhrabad,w/o
11251,5 Aug 2019,Airbus A320-232,United Airlines,0,"San Francisco International Airport, CA (SFO)",sub
11252,6 Aug 2019,Cessna 510 Citation Mustang,private,1,"0,4 km N of Los Ángeles-María Dolores Airport (LSQ)",dst
11253,6 Aug 2019,Cessna 208B Supervan 900,Alkan Air,2,"46 km ENE of Mayo Airport, YT (YMA)",dst
11254,6 Aug 2019,Cessna 208B Grand Caravan,Tropical Air,0,Mafia Airport (MFA),dst
11255,6 Aug 2019,Ilyushin Il-76TD,SkyAviatrans,0,Misrata International Airport (MRA),w/o
11256,6 Aug 2019,Cessna 560XLS+ Citation XLS+,Aerowest,0,Aarhus Airport (AAR),dst
11257,7 Aug 2019,British Aerospace 3201 Jetstream 32,SARPA - Servicios Aéreos Panamericanos,0,Bahía Solano-José Celestino Mutis Airport (BSC),sub
11258,7 Aug 2019,HS-125/BAe-125,unknown,0,"Las Pilas, Champerico, Retalhuleu",dst
11259,8 Aug 2019,Airbus A321-211 (WL),Frontier Airlines,0,"Orlando International Airport, FL (MCO)",sub
11260,10 Aug 2019,Canadair CL-600-2B16 Challenger 601,private,0,Nassau-Lynden Pindling International Airport (NAS),sub
11261,12 Aug 2019,Boeing 787-9 Dreamliner,Norwegian Air UK,0,London-Gatwick Airport (LGW),min
11262,14 Aug 2019,de Havilland Canada DHC-6 Twin Otter 200,Fuerza Aérea Argentina - FAA,0,54 km from Base Marambio,sub
11263,14 Aug 2019,Beechcraft Super King Air,Unknown,0,"El Ramonal, Chetumal, Quintana Roo",dst
11264,15 Aug 2019,de Havilland Canada DHC-6 Twin Otter 300,Berry Aviation,0,"San Marcos Regional Airport, TX",sub
11265,15 Aug 2019,Cessna 680A Citation Latitude,JRM Air LLC,0,"Elizabethton Municipal Airport, TN",dst
11266,15 Aug 2019,Airbus A321-211,Ural Airlines,0,ca 5 km SE of Zhukovsky International Airport (ZIA),sub
11267,16 Aug 2019,de Havilland Canada DHC-8-200,SafariLink,0,Kichwa Tembo Airstrip,sub
11268,18 Aug 2019,Cessna 208B Grand Caravan EX,Mokulele Airlines,0,"Kapalua Airport, HI (JHM)",sub
11269,18 Aug 2019,Boeing 757-251 (WL),Delta Air Lines,0,"Ponta Delgada-João Paulo II Airport, Azores (PDL)",sub
11270,21 Aug 2019,Cessna 750 Citation X,Fuerza Aérea Venezolana - FAV,0,Caracas/La Carlota-Gen. Francisco de Miranda Air Base,w/o
11271,21 Aug 2019,Cessna 208B Super Cargomaster,Morningstar Air Express,0,"Vancouver International Airport, BC (YVR)",sub
11272,21 Aug 2019,Cessna 560XL Citation Excel,Delta Private Jets,0,"Oroville Airport, CA (OVE)",dst
11273,22 Aug 2019,Airbus A380-861,Emirates,0,Dubai Airport (DXB),sub
11274,23 Aug 2019,Antonov An-2T,Club Tiroler Adler,0,Gmunden Airfield,sub
11275,25 Aug 2019,Lockheed C-130A Hercules,International Air Response,0,"Santa Barbara Airport, CA (SBA)",sub
11276,27 Aug 2019,Airbus A330-343,Air China,0,Beijing-Capital International Airport (PEK),sub
11277,27 Aug 2019,Cessna 560XL Citation Excel,Air Charter Services,0,Aligarh Airport,dst
11278,28 Aug 2019,Cessna 525 CitationJet CJ1+,Lenox Handels und Speditions GmbH,0,Egelsbach Airfield (QEF),sub
11279,28 Aug 2019,Antonov An-2R,private,0,"Selektsionny, Lgovsky district, Kursk region",sub
11280,30 Aug 2019,Antonov An-2R,private,2,Lake Syuryun-Kyuel area,w/o
11281,31 Aug 2019,Cessna 510 Citation Mustang,Star Jet LLC,0,"El Monte-San Gabriel Valley Airport, CA (EMT)",sub
11282,1 Sep 2019,Airbus A330-202,Libyan Airlines,0,Tripoli-Mitiga International Airport (MJI),min
11283,1 Sep 2019,Beechcraft B300 King Air 350,Lionair Inc.,9,"Pansol, Calamba, Laguna",dst
11284,2 Sep 2019,British Aerospace BAe-125-700A,private,2,near Nueva Cajolá,dst
11285,5 Sep 2019,Cessna 560XLS+ Citation XLS+,Skyline Aviation,0,Milano-Malpensa Airport (MXP),sub
11286,7 Sep 2019,ATR 72-212A (ATR 72-600),Regional Express Américas,0,Manizales-La Nubia Airport (MZL),sub
11287,11 Sep 2019,Bombardier CRJ-701ER ,Skywest Airlines,0,"Chicago-O'Hare International Airport, IL (ORD)",sub
11288,11 Sep 2019,Bombardier CRJ-701ER ,Skywest Airlines,0,"Chicago-O'Hare International Airport, IL (ORD)",sub
11289,11 Sep 2019,British Aerospace BAe-125-700A,private,0,"Chencoh, Hopelchén",unk
11290,11 Sep 2019,Cessna 208 Supervan 900,GoJump,1,near Gransee Airfield,w/o
